,route_id,from_stop_id,to_stop_id,min_transfer_time,from_route_id,to_route_id
430,11536_109,60192001004,60192001005,120.0,10271_109,11536_109
431,11536_109,60192001005,60192001003,120.0,10154_109,11536_109
432,11536_109,60192001005,60192001003,120.0,10155_109,11536_109
433,11536_109,60192001005,60192001003,120.0,10167_109,11536_109
434,11536_109,60192001005,60192001003,120.0,10170_109,11536_109
435,11536_109,60192001005,60192001003,120.0,10229_109,11536_109
436,11536_109,60192001005,60192001003,120.0,10271_109,11536_109
437,11536_109,60192001005,60192001003,120.0,11536_109,11536_109
438,11536_109,60192001005,60192001003,120.0,11537_109,11536_109
439,11536_109,60192001005,60192001005,,10154_109,11536_109
440,11536_109,60192001005,60192001005,,10155_109,11536_109
441,11536_109,60192001005,60192001005,,10167_109,11536_109
442,11536_109,60192001005,60192001005,,10170_109,11536_109
443,11536_109,60192001005,60192001005,180.0,10229_109,11536_109
444,11536_109,60192001005,60192001005,,10271_109,11536_109
445,11536_109,60192001005,60192001005,,11536_109,11536_109
446,11536_109,60192001005,60192001005,,11537_109,11536_109
447,11536_109,60192001006,60192001003,120.0,10167_109,11536_109
448,11536_109,60192001006,60192001005,,10167_109,11536_109
449,11536_109,60193002004,60193002003,60.0,10154_109,11536_109
450,11536_109,60186001811,60186001811,,10155_109,11536_109
451,11536_109,60186001811,60186001811,,10167_109,11536_109
452,11536_109,60186001811,60186001811,,11536_109,11536_109
453,11536_109,60186001811,60186001811,,11537_109,11536_109
454,11536_109,60186001811,60186001812,,10155_109,11536_109
455,11536_109,60186001811,60186001812,,10167_109,11536_109
456,11536_109,60186001811,60186001812,,11536_109,11536_109
457,11536_109,60186001811,60186001812,,11537_109,11536_109
