,stop_id,stop_name,stop_lat,stop_lon
125724,60066101852,S Lichterfelde West ,52.443512,13.294141
126000,60066102852,S Botanischer Garten ,52.447552,13.306041
126276,60062202842,S+U Rathaus Steglitz ,52.455066,13.322152
126552,60063101842,S Feuerbachstr. ,52.463578,13.332412
126818,60060101832,S Friedenau ,52.470002,13.340598
127091,60054104822,S Schöneberg ,52.479811,13.352848
127354,60057104812,S Julius-Leber-Brücke ,52.486263,13.360775
127627,60057102802,S+U Yorckstr. S1 U7 ,52.492345,13.367986
127914,60012101473,S Anhalter Bahnhof ,52.504538,13.382077
128221,60057102801,S+U Yorckstr. S1 U7 ,52.492345,13.367986
128538,60057104811,S Julius-Leber-Brücke ,52.486263,13.360775
128855,60054104821,S Schöneberg ,52.479811,13.352848
129174,60060101831,S Friedenau ,52.470002,13.340598
129483,60063101841,S Feuerbachstr. ,52.463578,13.332412
129792,60062202841,S+U Rathaus Steglitz ,52.455066,13.322152
130101,60066102851,S Botanischer Garten ,52.447552,13.306041
130410,60066101851,S Lichterfelde West ,52.443512,13.294141
130719,60049202851,S Sundgauer Str. ,52.436187,13.273501
131011,60049201861,S Zehlendorf ,52.431209,13.259227
131280,60050301871,S Mexikoplatz ,52.437166,13.23206
131549,60050355871,S Schlachtensee ,52.439806,13.213986
131818,60052200881,S Nikolassee ,52.43121,13.193298
132089,60053301432,S Wannsee Bhf ,52.421457,13.179099
133010,60170004099,S Ahrensfelde Bhf ,52.571564,13.566118
133931,60170003099,S Mehrower Allee ,52.557816,13.554392
134772,60110004099,S Landsberger Allee ,52.528772,13.455944
134986,60260005671,S Flughafen Berlin-Schönefeld Bhf,52.390792,13.513522
135263,60196001652,S Grünbergallee ,52.399539,13.543222
135540,60195510642,S Altglienicke ,52.407791,13.559602
135750,60195510641,S Altglienicke ,52.407791,13.559602
135960,60196001651,S Grünbergallee ,52.399539,13.543222
136356,60130001099,S Pankow-Heinersdorf ,52.577603,13.42909
137015,60135001099,S Buch ,52.636614,13.492452
137476,60330006099,S Röntgental,52.649062,13.514302
138069,60330005099,S Zepernick,52.659218,13.533143
138662,60000350244,"Bernau, Abzweig Wohnsiedlung",52.669124,13.56074
139255,60000350818,"Bernau, Zepernicker Chaussee",52.671809,13.564055
139848,60330004099,S Bernau Bhf,52.676233,13.593034
140046,60000143513,"Berlin, Bucher Chaussee/Achillesstr.",52.61807,13.487715
140244,60143001099,S Karow Bhf ,52.615755,13.470081
140507,60074201099,S Lichtenrade ,52.387676,13.396234
140770,60074202099,S Schichauweg ,52.398563,13.389457
141033,60072101099,S Buckower Chaussee ,52.410919,13.382689
141296,60073101099,S Marienfelde ,52.423816,13.375022
141559,60068301099,S Attilastr. ,52.447298,13.361177
141822,60063452099,S Südende ,52.448899,13.354077
142040,60180003001,S Spindlersfeld ,52.445938,13.562701
142256,60192002001,S Oberspree ,52.452269,13.538461
143214,60007102722,S+U Gesundbrunnen Bhf ,52.548637,13.388372
143987,60009104842,S+U Wedding ,52.542732,13.36606
144760,60001201832,S+U Westhafen ,52.536183,13.343837
145643,60020202812,S Beusselstr. ,52.534314,13.328703
146606,60020201956,S+U Jungfernheide Bhf ,52.530431,13.300135
147835,60026207812,S Westend ,52.51861,13.284237
149033,60024106802,S Messe Nord/ICC ,52.506454,13.283043
150231,60024100802,S Westkreuz ,52.501152,13.283036
151418,60040101712,S Halensee ,52.496698,13.290151
152592,60044101702,S Hohenzollerndamm ,52.488337,13.300714
153766,60045102632,S+U Heidelberger Platz ,52.479446,13.311843
154940,60044202622,S+U Bundesplatz ,52.477366,13.329149
156102,60054105612,S+U Innsbrucker Platz ,52.4781,13.342875
157264,60054100602,S Schöneberg ,52.479811,13.352848
158282,60077106402,S Sonnenallee ,52.473843,13.455986
159016,60009104841,S+U Wedding ,52.542732,13.36606
159731,60001201831,S+U Westhafen ,52.536183,13.343837
160746,60020202811,S Beusselstr. ,52.534314,13.328703
160826,60024101335,S Charlottenburg Bhf ,52.504805,13.303843
162005,60040101711,S Halensee ,52.496698,13.290151
163231,60130002641,S+U Pankow ,52.567281,13.412279
164424,60130001002,S Pankow-Heinersdorf ,52.577603,13.42909
165618,60142001004,S Blankenburg ,52.591069,13.442972
166768,60026207811,S Westend ,52.51861,13.284237
167900,60054100601,S Schöneberg ,52.479811,13.352848
169032,60054105611,S+U Innsbrucker Platz ,52.4781,13.342875
170172,60044202621,S+U Bundesplatz ,52.477366,13.329149
171312,60045102631,S+U Heidelberger Platz ,52.479446,13.311843
172452,60044101701,S Hohenzollerndamm ,52.488337,13.300714
173589,60024100801,S Westkreuz ,52.501152,13.283036
174726,60024106801,S Messe Nord/ICC ,52.506454,13.283043
175598,60020201955,S+U Jungfernheide Bhf ,52.530431,13.300135
176458,60007102723,S+U Gesundbrunnen Bhf ,52.548637,13.388372
177376,60077106401,S Sonnenallee ,52.473843,13.455986
178524,60142001001,S Blankenburg ,52.591069,13.442972
179671,60130001001,S Pankow-Heinersdorf ,52.577603,13.42909
179944,60260005672,S Flughafen Berlin-Schönefeld Bhf,52.390792,13.513522
181253,60120005011,S Ostbahnhof ,52.510001,13.435747
182651,60100004704,S+U Jannowitzbrücke ,52.5155,13.418027
